aX,aY,aZ,gX,gY,gZ
-0.018,-1.017,-2.419,51.758,-98.633,-47.119
-0.254,-1.040,-2.193,23.560,-132.507,-27.344
-0.586,-1.183,-2.023,8.606,-168.030,-7.690
-0.948,-0.916,-1.602,2.563,-215.454,26.917
-1.204,-0.585,-0.878,-10.864,-267.395,59.143
-1.482,-0.436,-0.040,1.709,-310.547,66.345
-1.620,-0.069,0.902,44.373,-347.351,68.237
-1.634,0.367,2.039,70.435,-380.493,62.866
-1.821,0.495,2.929,65.369,-386.597,27.893
-2.013,0.274,3.138,60.303,-350.647,-20.935
-2.126,-0.383,3.327,71.472,-335.449,-69.580
-2.013,-0.680,3.528,81.299,-354.736,-96.375
-1.517,-0.164,3.420,95.276,-366.272,-97.412
-0.820,-0.222,3.830,93.018,-386.475,-120.911
-0.038,-1.465,4.000,76.172,-413.391,-166.992
0.885,-2.689,4.000,53.162,-391.296,-171.448
1.727,-2.973,4.000,41.992,-304.565,-92.712
2.078,-2.189,4.000,5.310,-199.280,32.166
1.768,-1.040,4.000,-51.819,-93.506,135.254
1.173,0.245,4.000,-95.398,46.021,184.570
0.627,1.231,2.491,-100.342,186.707,180.237
0.293,1.250,1.565,-67.993,231.995,115.295
-0.003,0.405,1.824,-56.335,203.552,26.306
-0.227,-0.480,2.055,-33.630,195.679,-36.804
-0.359,-0.732,1.570,2.563,231.689,-50.598
-0.482,-1.082,1.090,15.076,252.563,-54.443
-0.562,-1.593,0.984,6.775,240.845,-51.025
-0.616,-1.924,1.017,-12.329,219.116,-23.560
